Amp training started. 2016-07-29T14:22:24

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [3, 3, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-UyHPMC.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/3-3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
  148        2016-07-29T14:23:27  1.750e-02    8.558e-03
  149        2016-07-29T14:23:27  1.748e-02    8.552e-03
  150        2016-07-29T14:23:27  1.745e-02    8.546e-03
  151        2016-07-29T14:23:27  1.743e-02    8.539e-03
  152        2016-07-29T14:23:27  1.739e-02    8.530e-03
  153        2016-07-29T14:23:28  1.735e-02    8.519e-03
  154        2016-07-29T14:23:28  1.731e-02    8.511e-03
  155        2016-07-29T14:23:28  1.728e-02    8.502e-03
  156        2016-07-29T14:23:28  1.722e-02    8.488e-03
  157        2016-07-29T14:23:29  1.713e-02    8.467e-03
  158        2016-07-29T14:23:29  1.702e-02    8.438e-03
  159        2016-07-29T14:23:29  1.692e-02    8.415e-03
  160        2016-07-29T14:23:29  1.683e-02    8.393e-03
  161        2016-07-29T14:23:29  1.673e-02    8.366e-03
  162        2016-07-29T14:23:30  1.669e-02    8.357e-03
  163        2016-07-29T14:23:30  1.666e-02    8.349e-03
  164        2016-07-29T14:23:30  1.680e-02    8.384e-03
  165        2016-07-29T14:23:30  1.663e-02    8.342e-03
  166        2016-07-29T14:23:30  1.659e-02    8.331e-03
  167        2016-07-29T14:23:31  1.652e-02    8.313e-03
  168        2016-07-29T14:23:31  1.640e-02    8.284e-03
  169        2016-07-29T14:23:31  1.621e-02    8.235e-03
  170        2016-07-29T14:23:32  1.705e-02    8.445e-03
  171        2016-07-29T14:23:32  1.612e-02    8.214e-03
  172        2016-07-29T14:23:32  1.597e-02    8.175e-03
  173        2016-07-29T14:23:32  1.571e-02    8.106e-03
  174        2016-07-29T14:23:32  1.532e-02    8.007e-03
  175        2016-07-29T14:23:33  1.575e-02    8.117e-03
